S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
49,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.2,2.268,-0.024
50,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.0,2.128,-0.026
51,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.7,0.8,1.943,-0.029
52,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.2,2.116,-0.026
53,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.0,1.95,-0.028
54,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,100,10.0,15,0.9,0.8,1.803,-0.03
55,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.2,2.315,-0.03
56,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.0,2.145,-0.033
57,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.5,0.8,2.003,-0.037
58,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.2,2.185,-0.033
59,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.0,2.031,-0.036
60,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.7,0.8,1.853,-0.041
61,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.2,2.029,-0.037
62,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.0,1.869,-0.041
63,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,5.0,15,0.9,0.8,1.698,-0.047
64,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.2,2.37,-0.021
65,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.0,2.208,-0.023
66,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.5,0.8,2.072,-0.025
