S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len	FOS	Dis	

2058	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	5.0	15	0.7	0.8	1.522	-0.065
2059	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	5.0	15	0.9	1.2	1.657	-0.058
2060	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	5.0	15	0.9	1.0	1.507	-0.066
2061	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	5.0	15	0.9	0.8	1.36	-0.085
2062	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.5	1.2	1.98	-0.032
2063	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.5	1.0	1.842	-0.035
2064	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.5	0.8	1.695	-0.038
2065	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.7	1.2	1.883	-0.036
2066	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.7	1.0	1.744	-0.041
2067	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.7	0.8	1.592	-0.045
2068	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.9	1.2	1.713	-0.042
2069	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.9	1.0	1.555	-0.046
2070	6500	19.5	26.0	15.0	0.3	0	6.0	0	100	10.0	15	0.9	0.8	1.422	-0.05
2071	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.5	1.2	1.904	-0.042
2072	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.5	1.0	1.802	-0.047
2073	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.5	0.8	1.629	-0.052
2074	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.7	1.2	1.809	-0.048
2075	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.7	1.0	1.668	-0.052
2076	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.7	0.8	1.521	-0.061
2077	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.9	1.2	1.671	-0.054
2078	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.9	1.0	1.508	-0.06
2079	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	5.0	15	0.9	0.8	1.331	-0.073
2080	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.5	1.2	1.964	-0.031
2081	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.5	1.0	1.85	-0.034
2082	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.5	0.8	1.707	-0.037
2083	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.7	1.2	1.88	-0.034
2084	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.7	1.0	1.735	-0.038
2085	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.7	0.8	1.587	-0.042
2086	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.9	1.2	1.736	-0.039
2087	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.9	1.0	1.562	-0.042
2088	6500	19.5	26.0	15.0	0.3	0	6.0	0	200	10.0	15	0.9	0.8	1.44	-0.046
2089	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.5	1.2	1.461	-0.077
2090	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.5	1.0	1.308	-0.093
2091	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.5	0.8	1.152	-0.126
2092	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.7	1.2	1.302	-0.091
2093	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.7	1.0	1.161	-0.119
2094	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.7	0.8	0	-0.071
2095	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.9	1.2	1.082	-0.137
2096	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.9	1.0	0	-0.076
2097	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	5.0	15	0.9	0.8	0	-0.111
2098	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.5	1.2	1.512	-0.059
2099	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.5	1.0	1.352	-0.064
2100	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.5	0.8	1.202	-0.078
2101	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.7	1.2	1.428	-0.065
2102	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.7	1.0	1.213	-0.076
2103	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.7	0.8	1.054	-0.106
2104	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.9	1.2	1.159	-0.087
2105	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.9	1.0	0	-0.052
2106	6500	19.5	26.0	5.0	0.35	0	6.0	0	100	10.0	15	0.9	0.8	0	-0.067
2107	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.5	1.2	1.451	-0.074
2108	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.5	1.0	1.337	-0.088
2109	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.5	0.8	1.137	-0.119
2110	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.7	1.2	1.302	-0.086
2111	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.7	1.0	1.151	-0.109
2112	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.7	0.8	0	-0.068
2113	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.9	1.2	1.086	-0.119
2114	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.9	1.0	0	-0.073
2115	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	5.0	15	0.9	0.8	0	-0.108
2116	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.5	1.2	1.532	-0.057
2117	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.5	1.0	1.377	-0.061
2118	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.5	0.8	1.184	-0.073
2119	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.7	1.2	1.418	-0.062
2120	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.7	1.0	1.219	-0.071
2121	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.7	0.8	1.051	-0.099
2122	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.9	1.2	1.168	-0.077
2123	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.9	1.0	0	-0.05
2124	6500	19.5	26.0	5.0	0.35	0	6.0	0	200	10.0	15	0.9	0.8	0	-0.065
2125	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.5	1.2	1.446	-0.058
2126	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.5	1.0	1.312	-0.072
2127	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.5	0.8	1.138	-0.102
2128	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.7	1.2	1.297	-0.071
2129	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.7	1.0	1.151	-0.095
2130	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.7	0.8	0	-0.053
2131	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.9	1.2	1.085	-0.11
2132	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.9	1.0	0	-0.058
2133	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	5.0	15	0.9	0.8	0	-0.093
2134	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.5	1.2	1.507	-0.041
2135	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.5	1.0	1.406	-0.046
2136	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.5	0.8	1.201	-0.058
2137	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.7	1.2	1.42	-0.048
2138	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.7	1.0	1.219	-0.056
2139	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.7	0.8	1.048	-0.084
2140	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.9	1.2	1.161	-0.065
2141	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.9	1.0	0	-0.035
2142	6500	19.5	26.0	5.0	0.3	0	6.0	0	100	10.0	15	0.9	0.8	0	-0.047
2143	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.5	1.2	1.482	-0.055
2144	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.5	1.0	1.308	-0.066
2145	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.5	0.8	1.147	-0.094
2146	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.7	1.2	1.289	-0.066
2147	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.7	1.0	1.155	-0.086
2148	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.7	0.8	0	-0.05
2149	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.9	1.2	1.082	-0.094
2150	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.9	1.0	0	-0.055
2151	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	5.0	15	0.9	0.8	0	-0.089
2152	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.5	1.2	1.491	-0.04
2153	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.5	1.0	1.38	-0.043
2154	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.5	0.8	1.205	-0.052
2155	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.7	1.2	1.425	-0.045
2156	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.7	1.0	1.216	-0.051
2157	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.7	0.8	1.046	-0.076
2158	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.9	1.2	1.168	-0.057
2159	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.9	1.0	0	-0.034
2160	6500	19.5	26.0	5.0	0.3	0	6.0	0	200	10.0	15	0.9	0.8	0	-0.046
2161	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.5	1.2	2.544	-0.045
2162	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.5	1.0	2.347	-0.048
2163	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.5	0.8	2.193	-0.052
2164	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.7	1.2	2.412	-0.05
2165	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.7	1.0	2.214	-0.051
2166	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.7	0.8	2.03	-0.055
2167	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.9	1.2	2.196	-0.052
2168	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.9	1.0	2.059	-0.055
2169	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	5.0	15	0.9	0.8	1.837	-0.06
2170	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.5	1.2	2.637	-0.037
2171	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.5	1.0	2.441	-0.038
2172	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.5	0.8	2.262	-0.04
2173	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.7	1.2	2.499	-0.039
2174	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.7	1.0	2.328	-0.041
2175	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.7	0.8	2.145	-0.044
2176	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.9	1.2	2.336	-0.041
2177	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.9	1.0	2.155	-0.043
2178	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	100	10.0	15	0.9	0.8	1.981	-0.044
2179	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.5	1.2	2.529	-0.046
2180	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.5	1.0	2.363	-0.049
2181	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.5	0.8	2.179	-0.053
2182	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.7	1.2	2.408	-0.05
2183	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.7	1.0	2.225	-0.051
2184	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.7	0.8	2.034	-0.056
2185	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.9	1.2	2.236	-0.053
2186	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.9	1.0	2.077	-0.057
2187	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	5.0	15	0.9	0.8	1.862	-0.062
2188	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.5	1.2	2.627	-0.037
2189	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.5	1.0	2.446	-0.038
2190	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.5	0.8	2.278	-0.041
2191	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.7	1.2	2.503	-0.039
2192	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.7	1.0	2.319	-0.042
2193	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.7	0.8	2.14	-0.044
2194	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.9	1.2	2.336	-0.041
2195	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.9	1.0	2.176	-0.044
2196	6500	19.5	30.0	25.0	0.35	0.0	6.0	0	200	10.0	15	0.9	0.8	1.992	-0.046
2197	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.5	1.2	2.52	-0.028
