column_name,angle,,C,E,FAng,Gam,Len,Neu,Plthk,Sp,phi
FAng,0.1,,0,0,0.1,0,0,0,0,0,0
Gam,-0.44,,0,0,0,-0.44,0,0,0,0,0
Len,0.55,,0,0,0,0,0.55,0,0,0,0
Neu,0.02,,0,0,0,0,0,0.02,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.25,,0,0,0,0,0,0,0,-0.25,0
phi,0.82,,0,0,0,0,0,0,0,0,0.82
C,0.65,,0.65,0,0,0,0,0,0,0,0
E,-0.01,,0,-0.01,0,0,0,0,0,0,0
FAng,0.11,,0,0,0.11,0,0,0,0,0,0
Gam,-0.45,,0,0,0,-0.45,0,0,0,0,0
Len,0.46,,0,0,0,0,0.46,0,0,0,0
Neu,-0.04,,0,0,0,0,0,-0.04,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.24,,0,0,0,0,0,0,0,-0.24,0
phi,0.79,,0,0,0,0,0,0,0,0,0.79
C,0.65,,0.65,0,0,0,0,0,0,0,0
E,-0.06,,0,-0.06,0,0,0,0,0,0,0
FAng,0.11,,0,0,0.11,0,0,0,0,0,0
Gam,-0.42,,0,0,0,-0.42,0,0,0,0,0
Len,0.36,,0,0,0,0,0.36,0,0,0,0
Neu,0.05,,0,0,0,0,0,0.05,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.26,,0,0,0,0,0,0,0,-0.26,0
phi,0.66,,0,0,0,0,0,0,0,0,0.66
C,0.7,,0.7,0,0,0,0,0,0,0,0
E,0.02,,0,0.02,0,0,0,0,0,0,0
FAng,0.16,,0,0,0.16,0,0,0,0,0,0
Gam,-0.46,,0,0,0,-0.46,0,0,0,0,0
Len,0.55,,0,0,0,0,0.55,0,0,0,0
Neu,0.08,,0,0,0,0,0,0.08,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.32,,0,0,0,0,0,0,0,-0.32,0
phi,0.74,,0,0,0,0,0,0,0,0,0.74
C,1.41,,1.41,0,0,0,0,0,0,0,0
E,0,,0,0,0,0,0,0,0,0,0
FAng,0.12,,0,0,0.12,0,0,0,0,0,0
Gam,-0.53,,0,0,0,-0.53,0,0,0,0,0
Len,0.46,,0,0,0,0,0.46,0,0,0,0
Neu,0.1,,0,0,0,0,0,0.1,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.31,,0,0,0,0,0,0,0,-0.31,0
phi,0.7,,0,0,0,0,0,0,0,0,0.7
C,1.3,,1.3,0,0,0,0,0,0,0,0
E,-0.02,,0,-0.02,0,0,0,0,0,0,0
FAng,0.14,,0,0,0.14,0,0,0,0,0,0
Gam,-0.39,,0,0,0,-0.39,0,0,0,0,0
Len,0.37,,0,0,0,0,0.37,0,0,0,0
Neu,0.05,,0,0,0,0,0,0.05,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.33,,0,0,0,0,0,0,0,-0.33,0
phi,0.57,,0,0,0,0,0,0,0,0,0.57
C,0.61,,0.61,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.41,,0,0,0,-0.41,0,0,0,0,0
Len,0.5,,0,0,0,0,0.5,0,0,0,0
Neu,-0.07,,0,0,0,0,0,-0.07,0,0,0
Sp,-0.19,,0,0,0,0,0,0,0,-0.19,0
phi,0.84,,0,0,0,0,0,0,0,0,0.84
C,0.56,,0.56,0,0,0,0,0,0,0,0
E,0,,0,0,0,0,0,0,0,0,0
FAng,0.06,,0,0,0.06,0,0,0,0,0,0
Gam,-0.4,,0,0,0,-0.4,0,0,0,0,0
Len,0.42,,0,0,0,0,0.42,0,0,0,0
Neu,-0.03,,0,0,0,0,0,-0.03,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.18,,0,0,0,0,0,0,0,-0.18,0
phi,0.83,,0,0,0,0,0,0,0,0,0.83
C,0.62,,0.62,0,0,0,0,0,0,0,0
E,0,,0,0,0,0,0,0,0,0,0
FAng,0.03,,0,0,0.03,0,0,0,0,0,0
Gam,-0.48,,0,0,0,-0.48,0,0,0,0,0
Len,0.33,,0,0,0,0,0.33,0,0,0,0
Neu,0.02,,0,0,0,0,0,0.02,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.23,,0,0,0,0,0,0,0,-0.23,0
phi,0.69,,0,0,0,0,0,0,0,0,0.69
C,0.64,,0.64,0,0,0,0,0,0,0,0
E,-0.03,,0,-0.03,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.53,,0,0,0,0,0.53,0,0,0,0
Neu,-0.01,,0,0,0,0,0,-0.01,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.27,,0,0,0,0,0,0,0,-0.27,0
phi,0.77,,0,0,0,0,0,0,0,0,0.77
C,0.62,,0.62,0,0,0,0,0,0,0,0
E,0,,0,0,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.36,,0,0,0,-0.36,0,0,0,0,0
Len,0.44,,0,0,0,0,0.44,0,0,0,0
Neu,-0.04,,0,0,0,0,0,-0.04,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.25,,0,0,0,0,0,0,0,-0.25,0
phi,0.69,,0,0,0,0,0,0,0,0,0.69
C,1.34,,1.34,0,0,0,0,0,0,0,0
E,-0.05,,0,-0.05,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.42,,0,0,0,-0.42,0,0,0,0,0
Len,0.35,,0,0,0,0,0.35,0,0,0,0
Neu,0.08,,0,0,0,0,0,0.08,0,0,0
Plthk,0.02,,0,0,0,0,0,0,0.02,0,0
Sp,-0.32,,0,0,0,0,0,0,0,-0.32,0
phi,0.62,,0,0,0,0,0,0,0,0,0.62
